ProductId,ProductName,Variant,Category,Price,Description
1,Add on Aren,-,Add on,0,"Tambahan sirup gula aren murni, memberikan rasa manis karamel alami khas Indonesia"
2,Add on Simple Syrup,-,Add on,0,Tambahan sirup gula sederhana (air dan gula) sebagai pemanis dasar untuk semua minuman
3,Air Mineral,-,Other,5000,Air minum murni dalam kemasan
4,Americano,Hot Houseblend,Coffee,20000,"Minuman kopi hitam yang dibuat dengan menambahkan air panas ke shot espresso, menggunakan pilihan biji Houseblend (perpaduan robusta dan arabica)"
5,Americano,Ice Houesblend,Coffee,20000,"Minuman kopi hitam yang dibuat dengan menambahkan air dingin dan es batu ke shot espresso, menggunakan pilihan biji Houseblend (perpaduan robusta dan arabica)"
6,Americano,Hot Arabica,Coffee,20000,"Minuman kopi hitam yang dibuat dengan menambahkan air panas ke shot espresso, menggunakan pilihan biji Arabica 100%"
7,Americano,Ice Arabica,Coffee,20000,"Minuman kopi hitam yang dibuat dengan menambahkan air dingin dan es batu ke shot espresso, menggunakan pilihan biji Arabica 100%"
8,Apple Pie Latte,-,Coffee,24000,"Minuman latte dengan perpaduan espresso, susu, dan sirup rasa apel pie yang manis, memberikan sensasi seperti memakan pie apel dalam bentuk minuman"
9,Apple Pie Latte (Gedhe),-,Menu Gedhe,30000,"Minuman ukuran besar dari latte dengan perpaduan espresso, susu, dan sirup rasa apel pie yang manis, memberikan sensasi seperti memakan pie apel dalam bentuk minuman"
10,BLACK,-,Menu Gedhe,20000,"Minuman kopi hitam murni dalam ukuran besar, diseduh dengan metode pour-over atau french press untuk mengekstrak rasa lengkap dari biji kopi blend yang seimbang"
11,BLACK,Houseblend,Menu Gedhe,20000,"Minuman kopi hitam murni dalam ukuran besar, diseduh dengan metode pour-over atau french press untuk mengekstrak rasa lengkap dari karakteristik biji Houseblend yang balanced dan nutty"
12,BLACK,Arabica,Menu Gedhe,20000,"Minuman kopi hitam murni dalam ukuran besar, diseduh dengan metode pour-over atau french press untuk mengekstrak rasa lengkap dari karakteristik biji Arabica yang acidic, fruity, dan kompleks"
13,Banana Bread,Chocolate,Snacks,12000,"Kue pisang lembut yang terbuat dari pisang asli, tepung, telur, dan mentega, dengan taburan cokelat chips"
14,Banana Bread,Original,Snacks,12000,"Kue pisang lembut yang terbuat dari pisang asli, tepung, telur, dan mentega, dengan rasa original"
15,Basic Latte,Hot Arabica,Coffee,23000,"Minuman klasik dengan 1 shot espresso dari biji kopi Arabica, susu steamed, dan lapisan microfoam yang tipis"
16,Basic Latte,Ice Houseblend,Coffee,23000,"Minuman klasik dengan 1 shot espresso dari biji kopi Houseblend, susu dingin, dan es batu"
17,Basic Latte,Hot Houseblend,Coffee,23000,"Minuman klasik dengan 1 shot espresso dari biji kopi Houseblend, susu steamed, dan lapisan microfoam yang tipis"
18,Basic Latte,Ice Arabica,Coffee,23000,"Minuman klasik dengan 1 shot espresso dari biji kopi Arabica, susu dingin, dan es batu"
19,Berry Cake,-,Other,24000,Minuman manis asam segar terinspirasi dari kue lembut dengan lapisan krim dan campuran berry
20,Biru,-,Coffee,24000,"Minuman menyegarkan berwarna biru cerah dengan perpaduan lemon dan sedikit soda, memberikan sensasi segar seperti langit musim panas"
21,Biru (Gedhe),-,Menu Gedhe,30000,"Minuman ukuran besar menyegarkan berwarna biru cerah dengan perpaduan lemon dan sedikit soda, memberikan sensasi segar seperti langit musim panas"
22,Black Rice,Ice,Other,23000,"Minuman manis gurih terinspirasi dari ketan hitam tradisional, disajikan dengan es yang memiliki tekstur lembut dan sedikit creamy"
23,Black Rice,Hot,Other,23000,"Minuman manis gurih terinspirasi dari ketan hitam tradisional, disajikan secara panas dengan tekstur lembut dan sedikit creamy"
24,Burnt Sugar,-,Snacks,12000,"Kue donat klasik dengan lapisan gula yang dibakar di atasnya (creme brulee style), memberikan tekstur renyah dan rasa manis pahit"
25,Butterscotch,-,Coffee,23000,Minuman perpaduan espresso dan susu dengan sentuhan manis lembut dari sirup butterscotch yang menghadirkan sensasi karamel hangat
26,Butterscotch Latte (Gedhe),-,Menu Gedhe,30000,Minuman ukuran besar dari perpaduan espresso dan susu dengan sentuhan manis lembut dari sirup butterscotch yang menghadirkan sensasi karamel hangat
27,Candy Latte,-,Coffee,23000,"Minuman latte dengan sentuhan manis seperti permen, memadukan espresso dan susu dengan rasa permen nostalgia masa kecil"
28,Candy Latte (Gedhe),-,Menu Gedhe,30000,"Minuman ukuran besar dari latte dengan sentuhan manis seperti permen, memadukan espresso dan susu dengan rasa permen nostalgia masa kecil"
29,Cappuccino,Hot Houseblend,Coffee,22000,"Minuman dengan komposisi 1:1:1 antara espresso dari biji kopi Houseblend, susu steamed, dan busa susu (foam) yang tebal di atasnya"
30,Cappuccino,Hot Arabica,Coffee,22000,"Minuman dengan komposisi 1:1:1 antara espresso dari biji kopi Arabica, susu steamed, dan busa susu (foam) yang tebal di atasnya"
